Name,Team,G,PA,HR,R,RBI,SB,BBr,Kr,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCp,BsR,Off,Def,WAR,playerid
Bryce Harper,Nationals,153,654,42,118,99,6,19.00%,20.00%,0.319,0.369,0.33,0.46,0.649,0.461,197,3.2,77.5,-8.5,9.5,11579
Mike Trout,Angels,159,682,41,104,90,11,13.50%,23.20%,0.29,0.344,0.299,0.402,0.59,0.415,172,3.3,60.4,2.1,9,10155
Josh Donaldson,Blue Jays,158,711,41,122,123,6,10.30%,18.70%,0.271,0.314,0.297,0.371,0.568,0.398,154,4,48.3,10.7,8.7,5038
Paul Goldschmidt,Diamondbacks,159,695,33,103,110,21,17.00%,21.70%,0.249,0.382,0.321,0.435,0.57,0.418,164,3.1,55,-6.9,7.4,9218
Joey Votto,Reds,158,695,29,95,80,11,20.60%,19.40%,0.228,0.371,0.314,0.459,0.541,0.427,172,-1.2,57.3,-9.3,7.4,4314
Manny Machado,Orioles,162,713,35,102,86,20,9.80%,15.60%,0.216,0.297,0.286,0.359,0.502,0.37,134,1.1,29.1,11.2,6.8,11493
Yoenis Cespedes,- - -,159,676,35,101,105,7,4.90%,20.90%,0.251,0.323,0.291,0.328,0.542,0.367,135,3.4,31.2,10.6,6.7,13110
A.J. Pollock,Diamondbacks,157,673,20,111,76,39,7.90%,13.20%,0.182,0.338,0.315,0.367,0.498,0.371,132,7,32.1,8.7,6.6,9256
Lorenzo Cain,Royals,140,604,16,101,72,28,6.10%,16.20%,0.171,0.347,0.307,0.361,0.477,0.36,129,6.2,26.2,15.7,6.6,9077
Kris Bryant,Cubs,151,650,26,87,99,13,11.80%,30.60%,0.213,0.378,0.275,0.369,0.488,0.371,136,7.1,34.3,7.1,6.5,15429
Jason Heyward,Cardinals,154,610,13,79,60,23,9.20%,14.80%,0.146,0.329,0.293,0.359,0.439,0.346,121,7,21.6,16.4,6,4940
Andrew McCutchen,Pirates,157,685,23,91,96,11,14.30%,19.40%,0.196,0.339,0.292,0.401,0.488,0.38,146,-1.1,36,-2.5,5.8,9847
Buster Posey,Giants,150,623,19,74,95,2,9.00%,8.30%,0.153,0.32,0.318,0.379,0.47,0.363,138,-1.8,26,8.2,5.7,9166
Chris Davis,Orioles,160,670,47,100,117,2,12.50%,31.00%,0.3,0.319,0.262,0.361,0.562,0.39,147,-0.5,36.3,-5.5,5.6,9272
Kevin Kiermaier,Rays,151,535,10,62,40,18,4.50%,17.80%,0.156,0.306,0.263,0.298,0.42,0.309,98,3.5,2.2,32,5.5,11038
Anthony Rizzo,Cubs,160,701,31,94,101,17,11.10%,15.00%,0.234,0.289,0.278,0.387,0.512,0.384,145,1.9,38.6,-8.9,5.5,3473
Matt Carpenter,Cardinals,154,665,28,101,84,4,12.20%,22.70%,0.233,0.321,0.272,0.365,0.505,0.372,139,1.5,31.6,-3.5,5.2,8090
Jason Kipnis,Indians,141,641,9,86,52,12,8.90%,16.70%,0.149,0.356,0.303,0.372,0.451,0.355,126,3.4,23,4.5,5.2,9776
Curtis Granderson,Mets,157,682,26,98,70,11,13.30%,22.10%,0.198,0.305,0.259,0.364,0.457,0.357,132,2.5,27.8,-0.7,5.1,4747
J.D. Martinez,Tigers,158,657,38,93,102,3,8.10%,27.10%,0.253,0.339,0.282,0.344,0.535,0.372,137,-2.2,25.7,-0.1,5,6184
Matt Duffy,Giants,149,612,12,77,77,12,4.90%,15.70%,0.133,0.336,0.295,0.334,0.428,0.331,116,4.4,16,11.5,4.9,13836
Nelson Cruz,Mariners,152,655,44,90,93,3,9.00%,25.00%,0.264,0.35,0.302,0.369,0.566,0.396,158,-2.5,41.5,-17.6,4.8,2434
Mookie Betts,Red Sox,145,654,18,92,77,21,7.00%,12.50%,0.188,0.31,0.291,0.341,0.479,0.351,119,8.3,22.5,1.3,4.8,13611
Brandon Crawford,Giants,143,561,21,65,84,6,7.00%,21.20%,0.205,0.294,0.256,0.321,0.462,0.332,117,-1.4,9.5,17.1,4.7,5343
Adrian Beltre,Rangers,143,619,18,83,83,1,6.60%,10.50%,0.166,0.295,0.287,0.334,0.453,0.337,108,3.9,9.4,13.8,4.6,639
Dee Gordon,Marlins,145,653,4,88,46,58,3.80%,13.90%,0.085,0.383,0.333,0.359,0.418,0.337,113,4.9,14.6,8.6,4.6,8203
Edwin Encarnacion,Blue Jays,146,624,39,94,111,3,12.30%,15.70%,0.28,0.267,0.277,0.372,0.557,0.392,150,-2.2,33.6,-11.7,4.5,2151
Nolan Arenado,Rockies,157,665,42,97,130,2,5.10%,16.50%,0.287,0.284,0.287,0.323,0.575,0.371,119,-0.9,14.1,7.6,4.5,9777
Jose Bautista,Blue Jays,153,666,40,108,114,8,16.50%,15.90%,0.285,0.237,0.25,0.377,0.536,0.389,147,2.3,38.9,-18.9,4.5,1887
Todd Frazier,Reds,157,678,35,82,89,13,6.50%,20.20%,0.242,0.271,0.255,0.309,0.498,0.342,114,-0.6,10.7,9.6,4.4,785
Miguel Cabrera,Tigers,119,511,18,64,76,1,15.10%,16.00%,0.196,0.384,0.338,0.44,0.534,0.413,165,-5.1,33.3,-9.2,4.3,1744
Jose Altuve,Astros,154,689,15,86,66,38,4.80%,9.70%,0.146,0.329,0.313,0.353,0.459,0.347,120,-3.7,12.4,5.4,4.3,5417
Brandon Belt,Giants,137,556,18,73,68,9,10.10%,26.40%,0.197,0.363,0.28,0.356,0.478,0.359,135,1.5,24.3,-1.2,4.3,10264
Kevin Pillar,Blue Jays,159,628,12,76,56,25,4.50%,13.50%,0.121,0.306,0.278,0.314,0.399,0.31,93,8.1,3.2,16.6,4.3,12434
